,Date,Low,High,Close,Open
5369,2019-05-07,200.825,207.4175,202.86,205.88
5368,2019-05-06,203.5,208.84,208.48,204.29
5367,2019-05-03,210.23,211.84,211.75,210.89
5366,2019-05-02,208.13,212.65,209.15,209.84
5365,2019-05-01,209.23,215.31,210.52,209.88
5364,2019-04-30,199.11,203.4,200.67,203.06
5363,2019-04-29,203.86,205.97,204.61,204.4
5362,2019-04-26,202.12,205.0,204.3,204.9
5361,2019-04-25,205.12,207.76,205.28,206.83
5360,2019-04-24,207.05,208.48,207.16,207.36
5359,2019-04-23,203.9,207.75,207.48,204.43
5358,2019-04-22,202.34,204.94,204.53,202.83
5357,2019-04-18,202.52,204.15,203.86,203.12
5356,2019-04-17,198.61,203.38,203.13,199.54
5355,2019-04-16,198.56,201.37,199.25,199.46
5354,2019-04-15,198.01,199.85,199.23,198.58
5353,2019-04-12,196.21,200.14,198.87,199.2
5352,2019-04-11,198.4431,201.0,198.95,200.85
5351,2019-04-10,198.18,200.74,200.62,198.68
5350,2019-04-09,199.23,202.85,199.5,200.32
5349,2019-04-08,196.34,200.23,200.1,196.42
5348,2019-04-05,195.93,197.1,197.0,196.45
5347,2019-04-04,193.14,196.37,195.69,194.79
5346,2019-04-03,193.15,196.5,195.35,193.25
5345,2019-04-02,191.05,194.46,194.02,191.09
5344,2019-04-01,188.38,191.68,191.24,191.64
5343,2019-03-29,188.54,190.08,189.95,189.83
5342,2019-03-28,187.53,189.559,188.72,188.95
5341,2019-03-27,186.55,189.76,188.47,188.75
5340,2019-03-26,184.58,192.88,186.79,191.664
5339,2019-03-25,186.6,191.98,188.74,191.51
5338,2019-03-22,190.78,197.69,191.05,195.34
5337,2019-03-21,189.81,196.33,195.09,190.02
5336,2019-03-20,184.73,189.49,188.16,186.23
5335,2019-03-19,185.92,188.99,186.53,188.35
5334,2019-03-18,185.79,188.39,188.02,185.8
5333,2019-03-15,183.74,187.33,186.12,184.85
5332,2019-03-14,182.56,184.1,183.73,183.9
5331,2019-03-13,180.92,183.3,181.71,182.25
5330,2019-03-12,179.37,182.67,180.91,180.0
5329,2019-03-11,175.35,179.12,178.9,175.49
5328,2019-03-08,169.5,173.07,172.91,170.32
5327,2019-03-07,172.02,174.44,172.5,173.87
5326,2019-03-06,173.94,175.49,174.52,174.67
5325,2019-03-05,174.54,176.0,175.53,175.94
5324,2019-03-04,173.97,177.75,175.85,175.69
5323,2019-03-01,172.89,175.15,174.97,174.28
